Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate14.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-19 15:26:41 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
G11,C_T1_R1_Ss_S2-11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G12,C_T1_R1_Ss_S2-11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H1,C_T0_R2_Ss_S4-24,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
H2,C_T0_R2_Ss_S4-24,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H3,C_T0_R2_Ss_S4-24,Ssid,UNKNOWN,FAM,NFQ-MGB,21.0116233826,21.2979393005,0.4049118459,,,,0,0.02,1,3,18,,N,N,N
H4,C_T0_R2_Ss_S4-24,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5842552185,21.2979393005,0.4049118459,,,,0,0.02,1,3,19,,N,N,N
H5,C_T0_R2_Ss_S4-24,C,UNKNOWN,VIC,NFQ-MGB,26.0143184662,25.949420929,0.0917789787,,,,0,0.02,1,3,24,,N,N,N
H5,C_T0_R2_Ss_S4-24,D,UNKNOWN,FAM,NFQ-MGB,24.9622516632,24.8570137024,0.1488275975,,,,0,0.02,1,3,23,,N,N,N
H6,C_T0_R2_Ss_S4-24,C,UNKNOWN,VIC,NFQ-MGB,25.8845233917,25.949420929,0.0917789787,,,,0,0.02,1,3,24,,N,N,N
H6,C_T0_R2_Ss_S4-24,D,UNKNOWN,FAM,NFQ-MGB,24.7517776489,24.8570137024,0.1488275975,,,,0,0.02,1,3,23,,N,N,N
H7,C_T0_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
H7,C_T0_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
H8,C_T0_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
H8,C_T0_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
H9,C_T0_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H10,C_T0_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H11,C_T0_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
H12,C_T0_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
